course_level,ERM_SCORE,sat_new_math,act_math,hs_gpa,Compliance,course_number_updated
250,15.0,,,,Uncompliant,Combo3
300,,,24.0,3.8,Compliant,121Q
150,,,,2.87,Uncompliant,Combo1
300,30.0,,,3.85,Compliant,216Q
400,40.0,,,,Compliant,151Q
400,30.0,,29.0,,Uncompliant,161Q
300,,,18.0,3.73,Compliant,121Q
500,,,21.0,2.44,Uncompliant,171Q
400,,,18.0,3.41,Compliant,151Q
500,,,,,Uncompliant,171Q
150,,,,,Uncompliant,Combo1
300,30.0,,,,Compliant,121Q
300,40.0,,,3.94,Compliant,121Q
400,,,21.0,3.1,Compliant,161Q
300,,,27.0,,Uncompliant,216Q
150,25.0,,,2.5,Compliant,090
400,,,23.0,3.0,Compliant,161Q
300,,,17.0,2.58,Uncompliant,121Q
300,,,20.0,3.38,Compliant,216Q
300,,,22.0,3.63,Compliant,216Q
250,,,,,Uncompliant,Combo3
300,,,,3.2,Compliant,132
400,,,24.0,3.41,Compliant,151Q
400,,,,,Uncompliant,151Q
300,,,21.0,2.94,Uncompliant,121Q
100,10.0,,,,Compliant,Combo2
300,,,,,Uncompliant,216Q
300,,,16.0,,Uncompliant,121Q
290,,,23.0,2.94,Uncompliant,105Q
500,,,30.0,3.51,Compliant,171Q
400,,,,,Uncompliant,161Q
300,,,,,Uncompliant,121Q
100,,,15.0,2.37,Compliant,Combo2
300,,,19.0,,Uncompliant,132
100,,,19.0,1.902,Uncompliant,Combo2
300,,,22.0,3.66,Compliant,121Q
300,,,26.0,3.14,Compliant,216Q
300,30.0,,,,Compliant,121Q
500,40.0,,22.0,3.08,Compliant,171Q
400,,,,1.75,Uncompliant,161Q
300,,,27.0,,Uncompliant,132
300,40.0,,28.0,4.0,Compliant,216Q
400,,,19.0,3.43,Compliant,161Q
300,,,18.0,,Uncompliant,216Q
500,,,21.0,2.9,Uncompliant,171Q
500,,,28.0,2.22,Uncompliant,171Q
300,,,,2.7,Uncompliant,121Q
400,,,,,Uncompliant,161Q
500,,,,,Uncompliant,171Q
300,,,,,Uncompliant,216Q
300,,,19.0,3.8,Compliant,121Q
300,,,24.0,3.75,Compliant,216Q
500,,,26.0,3.4,Compliant,171Q
150,,,15.0,2.75,Uncompliant,090
150,15.0,,15.0,3.12,Compliant,090
400,,,,,Uncompliant,161Q
400,,,22.0,2.94,Uncompliant,161Q
100,,,,,Uncompliant,088
400,,,24.0,2.724,Uncompliant,161Q
500,,,,2.87,Uncompliant,171Q
250,,,21.0,2.01,Compliant,Combo3
300,30.0,,,3.97,Compliant,121Q
300,,,,2.5,Uncompliant,216Q
300,,,23.0,2.84,Compliant,216Q
300,,,23.0,,Compliant,121Q
300,,,23.0,3.73,Compliant,121Q
300,,660.0,30.0,3.48,Compliant,216Q
300,,570.0,23.0,3.07,Compliant,216Q
250,25.0,,,2.56,Compliant,Combo3
300,,,23.0,2.2,Compliant,121Q
400,,,26.0,3.43,Compliant,151Q
250,,,15.0,2.39,Uncompliant,Combo3
100,15.0,,,,Compliant,Combo2
300,,,20.0,3.09,Compliant,216Q
500,,,20.0,3.54,Compliant,165Q
250,,,22.0,3.76,Compliant,Combo3
400,,,20.0,2.98,Uncompliant,161Q
300,,,24.0,2.9,Compliant,216Q
100,10.0,,,2.55,Compliant,088
300,,,,,Uncompliant,216Q
400,,,18.0,,Uncompliant,161Q
300,,,18.0,2.86,Uncompliant,216Q
400,,,24.0,3.25,Compliant,161Q
300,,,23.0,3.29,Compliant,216Q
500,,,28.0,2.81,Uncompliant,171Q
300,,,27.0,3.62,Compliant,216Q
100,15.0,,17.0,2.92,Compliant,Combo2
400,,,,,Uncompliant,151Q
300,,,,,Uncompliant,216Q
300,,,30.0,3.82,Compliant,216Q
300,,,,,Uncompliant,216Q
250,,,15.0,2.24,Uncompliant,Combo3
150,,,17.0,2.396,Compliant,Combo1
500,,,26.0,3.82,Compliant,171Q
290,,,,2.97,Uncompliant,105Q
400,,,20.0,2.24,Uncompliant,151Q
300,,,20.0,3.09,Compliant,216Q
400,,,23.0,2.33,Uncompliant,161Q
300,,,23.0,2.33,Compliant,216Q
400,,,26.0,3.98,Compliant,161Q
300,,,26.0,3.795,Compliant,121Q
290,,,22.0,3.0,Compliant,105Q
300,,,,,Uncompliant,216Q
290,,,21.0,3.94,Compliant,105Q
300,,,20.0,3.03,Compliant,121Q
300,,,17.0,,Uncompliant,216Q
300,,,,,Uncompliant,121Q
300,,,,,Uncompliant,216Q
400,,,,,Uncompliant,161Q
300,,,15.0,3.1,Compliant,121Q
500,,,28.0,3.26,Compliant,171Q
100,,,15.0,2.36,Compliant,Combo2
400,,,16.0,2.11,Uncompliant,161Q
400,,,27.0,2.74,Uncompliant,151Q
300,,,27.0,2.74,Uncompliant,216Q
300,,,19.0,2.977,Uncompliant,216Q
400,,,16.0,2.25,Uncompliant,161Q
290,,,19.0,3.46,Compliant,105Q
300,,,28.0,3.54,Compliant,216Q
300,,,,3.34,Compliant,216Q
300,,,18.0,2.2,Uncompliant,121Q
100,15.0,,,1.98,Compliant,Combo2
400,,,22.0,,Uncompliant,151Q
300,,,18.0,3.09,Compliant,216Q
100,,,15.0,2.18,Compliant,Combo2
300,,450.0,,3.38,Compliant,216Q
500,,,,,Uncompliant,165Q
400,,,26.0,3.82,Compliant,161Q
100,10.0,,,,Compliant,Combo2
300,,,,,Uncompliant,216Q
300,,,,2.5,Uncompliant,216Q
300,,,24.0,3.54,Compliant,216Q
100,10.0,,,,Compliant,Combo2
400,,510.0,,,Uncompliant,161Q
400,,,25.0,2.78,Compliant,151Q
400,40.0,,26.0,,Compliant,151Q
300,,,18.0,3.37,Compliant,121Q
300,,,18.0,3.1,Compliant,121Q
300,,,23.0,,Compliant,216Q
500,,,23.0,,Uncompliant,165Q
300,,,29.0,3.44,Compliant,216Q
300,,,20.0,3.38,Compliant,216Q
400,,,,2.66,Uncompliant,161Q
400,,660.0,,3.43,Compliant,161Q
300,,,,,Uncompliant,216Q
300,30.0,,,,Compliant,121Q
300,,,24.0,3.03,Compliant,121Q
400,,,26.0,2.95,Compliant,151Q
300,,,22.0,4.0,Compliant,121Q
300,,,,3.08,Compliant,216Q
400,,,33.0,3.85,Compliant,161Q
400,,,20.0,3.34,Compliant,151Q
300,,,23.0,3.0,Compliant,216Q
400,,,,2.17,Uncompliant,161Q
150,,,,3.3,Compliant,Combo1
290,,,16.0,3.02,Compliant,105Q
300,30.0,,15.0,2.81,Compliant,121Q
500,,,27.0,3.61,Compliant,171Q
300,,,,,Uncompliant,216Q
500,,,,,Uncompliant,171Q
400,,,,2.14,Uncompliant,151Q
400,40.0,,,,Compliant,161Q
150,10.0,,16.0,3.45,Compliant,Combo1
290,,,27.0,3.75,Compliant,105Q
300,,,27.0,3.38,Compliant,216Q
400,,,16.0,2.5,Uncompliant,151Q
300,,650.0,25.0,3.25,Compliant,216Q
300,,,15.0,2.68,Uncompliant,216Q
300,,,26.0,,Uncompliant,216Q
300,,,18.0,3.65,Compliant,216Q
400,,,18.0,3.18,Compliant,161Q
400,,,23.0,3.46,Compliant,161Q
400,,,17.0,2.615,Uncompliant,161Q
400,,,23.0,3.09,Compliant,151Q
400,,,21.0,3.22,Compliant,151Q
300,,,26.0,3.71,Compliant,121Q
300,,,18.0,3.5,Compliant,121Q
290,,,20.0,2.87,Uncompliant,105Q
100,,,17.0,,Compliant,Combo2
400,,,,,Uncompliant,161Q
300,,520.0,23.0,3.45,Compliant,216Q
300,40.0,,,,Compliant,216Q
100,15.0,430.0,,2.87,Compliant,Combo2
300,,,28.0,3.63,Compliant,216Q
300,,600.0,,3.67,Compliant,216Q
500,,650.0,24.0,3.02,Compliant,171Q
100,,500.0,,3.86,Compliant,Combo2
150,,,17.0,3.12,Compliant,Combo1
300,,,23.0,,Compliant,216Q
100,,,14.0,2.72,Compliant,088
300,,,15.0,3.04,Compliant,216Q
400,,510.0,18.0,3.35,Compliant,151Q
290,,,,3.58,Compliant,105Q
400,,,20.0,2.93,Uncompliant,161Q
300,,,24.0,3.4,Compliant,216Q
400,,,23.0,,Uncompliant,161Q
300,,,29.0,,Uncompliant,216Q
500,,,29.0,2.31,Uncompliant,171Q
300,,,20.0,,Uncompliant,216Q
400,,,21.0,3.12,Compliant,161Q
300,15.0,,22.0,3.58,Compliant,121Q
300,,,24.0,3.04,Compliant,216Q
300,,,18.0,2.79,Uncompliant,216Q
150,,,21.0,2.43,Uncompliant,Combo1
300,,,,2.47,Uncompliant,216Q
300,,,24.0,,Compliant,132
400,,,,3.02,Compliant,151Q
300,,,,,Uncompliant,216Q
400,,,28.0,2.96,Uncompliant,161Q
300,,,20.0,3.0,Compliant,216Q
300,,,,2.76,Uncompliant,216Q
300,,,19.0,,Uncompliant,216Q
290,,,18.0,3.09,Compliant,105Q
100,,,14.0,3.04,Compliant,088
250,25.0,,,,Compliant,Combo3
300,,,17.0,2.39,Uncompliant,216Q
500,,,26.0,3.5,Compliant,171Q
250,,,,,Uncompliant,Combo3
400,,,15.0,2.67,Uncompliant,161Q
300,,,17.0,3.24,Compliant,216Q
300,,,,3.8,Compliant,216Q
300,30.0,,,3.2,Compliant,121Q
300,,,26.0,3.96,Compliant,216Q
300,,,,,Uncompliant,121Q
300,,,,,Uncompliant,216Q
500,,,28.0,2.56,Uncompliant,171Q
300,,,18.0,3.13,Compliant,216Q
300,,,17.0,3.59,Compliant,121Q
290,,540.0,,2.46,Compliant,105Q
250,,530.0,,2.6,Compliant,Combo3
400,,560.0,,3.39,Compliant,151Q
300,,,17.0,3.72,Compliant,216Q
300,,750.0,32.0,3.73,Compliant,216Q
400,,,25.0,3.5,Compliant,161Q
300,,,26.0,3.24,Compliant,216Q
300,,560.0,,3.48,Compliant,121Q
300,,,17.0,3.57,Compliant,121Q
300,,,24.0,3.97,Compliant,216Q
300,,,22.0,3.46,Compliant,216Q
300,,,24.0,3.72,Compliant,216Q
500,,,20.0,2.3,Uncompliant,171Q
300,,480.0,,2.71,Uncompliant,121Q
290,10.0,,,,Uncompliant,105Q
250,,,,2.13,Uncompliant,Combo3
300,,,17.0,3.5,Compliant,216Q
400,,,24.0,3.74,Compliant,161Q
400,,,25.0,3.88,Compliant,161Q
150,,,21.0,3.21,Compliant,Combo1
300,,,24.0,,Compliant,216Q
250,,520.0,,2.59,Uncompliant,Combo3
300,,,17.0,2.49,Uncompliant,216Q
300,,,25.0,2.017,Uncompliant,216Q
300,,,22.0,3.0,Compliant,216Q
500,,,22.0,3.0,Compliant,171Q
300,,,24.0,3.58,Compliant,216Q
300,,,25.0,3.12,Compliant,216Q
400,,,,3.48,Compliant,151Q
400,,,23.0,2.33,Uncompliant,151Q
300,,,18.0,3.52,Compliant,121Q
300,,630.0,23.0,2.59,Compliant,216Q
400,,630.0,23.0,2.59,Compliant,151Q
150,15.0,,17.0,3.24,Compliant,Combo1
400,,,18.0,,Uncompliant,151Q
300,,,19.0,2.27,Uncompliant,216Q
250,25.0,,,,Compliant,Combo3
300,,,26.0,3.21,Compliant,216Q
300,,540.0,22.0,3.21,Compliant,216Q
300,,,19.0,2.94,Uncompliant,216Q
300,,,16.0,,Uncompliant,216Q
250,,,24.0,3.05,Compliant,Combo3
400,,620.0,,3.4,Compliant,161Q
300,,,21.0,3.67,Compliant,216Q
250,,,14.0,3.4,Compliant,Combo3
300,,,23.0,3.65,Compliant,216Q
100,,,16.0,,Compliant,Combo2
300,,,18.0,2.74,Uncompliant,216Q
400,,,18.0,3.57,Compliant,161Q
300,,,17.0,2.83,Uncompliant,121Q
300,30.0,,19.0,2.94,Compliant,121Q
500,,,25.0,3.51,Compliant,171Q
500,,,25.0,3.02,Compliant,171Q
250,,,21.0,,Compliant,Combo3
400,,,19.0,2.5,Uncompliant,151Q
290,,,16.0,3.14,Compliant,105Q
150,,,17.0,,Compliant,090
150,,,19.0,2.66,Compliant,Combo1
300,,,23.0,2.77,Compliant,216Q
290,30.0,,14.0,,Compliant,105Q
500,,,18.0,2.63,Uncompliant,165Q
150,,,17.0,3.04,Compliant,090
500,,,23.0,3.02,Compliant,171Q
400,,,17.0,2.34,Uncompliant,151Q
100,,,19.0,2.33,Uncompliant,Combo2
300,,,19.0,,Uncompliant,216Q
100,,,14.0,3.57,Compliant,088
500,,,26.0,,Uncompliant,171Q
300,,,17.0,3.1,Compliant,216Q
100,,,18.0,2.75,Uncompliant,Combo2
500,,,24.0,3.75,Compliant,171Q
250,,,18.0,3.0,Compliant,Combo3
100,,,18.0,2.83,Uncompliant,Combo2
300,,,18.0,3.45,Compliant,121Q
400,40.0,,26.0,3.26,Compliant,151Q
290,,,15.0,2.79,Uncompliant,105Q
400,40.0,,,3.23,Compliant,161Q
400,,,25.0,,Compliant,151Q
300,,,29.0,,Uncompliant,216Q
300,,,23.0,3.14,Compliant,121Q
300,,,23.0,3.14,Compliant,216Q
300,,590.0,,2.09,Uncompliant,121Q
300,,,17.0,2.71,Uncompliant,216Q
300,,,17.0,,Uncompliant,216Q
500,,620.0,,2.84,Uncompliant,171Q
300,,650.0,27.0,,Uncompliant,216Q
150,,,17.0,3.45,Compliant,Combo1
300,,,,,Uncompliant,121Q
500,,,29.0,2.74,Uncompliant,171Q
300,,,14.0,,Uncompliant,216Q
290,,,24.0,3.75,Compliant,105Q
300,,660.0,29.0,2.5,Uncompliant,216Q
250,,,20.0,2.81,Uncompliant,Combo3
300,,,,,Uncompliant,216Q
300,,540.0,19.0,3.6,Compliant,216Q
100,,,19.0,3.68,Compliant,Combo2
300,,,,,Uncompliant,121Q
300,,,28.0,3.94,Compliant,216Q
150,,,17.0,1.96,Compliant,Combo1
400,,,21.0,3.42,Compliant,161Q
290,15.0,,19.0,3.54,Compliant,105Q
300,,540.0,20.0,3.83,Compliant,216Q
400,,570.0,,3.13,Compliant,151Q
400,,540.0,,3.02,Compliant,161Q
500,40.0,590.0,,3.46,Compliant,171Q
100,,,16.0,2.63,Compliant,Combo2
400,40.0,,,,Compliant,151Q
300,,380.0,16.0,3.35,Compliant,121Q
150,30.0,,,,Compliant,Combo1
400,,550.0,,2.82,Uncompliant,161Q
400,,,,,Uncompliant,161Q
300,,520.0,,3.45,Compliant,216Q
300,,500.0,,2.36,Uncompliant,216Q
300,,,26.0,3.82,Compliant,216Q
100,,,,2.5,Uncompliant,Combo2
400,,,30.0,2.61,Uncompliant,161Q
150,,,19.0,3.33,Compliant,Combo1
300,,,,2.94,Uncompliant,132
300,15.0,,,,Uncompliant,216Q
300,,,18.0,2.92,Uncompliant,216Q
300,,,20.0,3.18,Compliant,216Q
290,,,21.0,2.8,Uncompliant,105Q
400,,,24.0,2.63,Uncompliant,161Q
300,,,25.0,3.1,Compliant,216Q
500,,,16.0,3.37,Compliant,171Q
300,,,21.0,,Uncompliant,216Q
400,,620.0,,3.92,Compliant,161Q
300,,540.0,,3.49,Compliant,216Q
400,,,26.0,3.75,Compliant,161Q
300,,,29.0,3.35,Compliant,216Q
300,,590.0,,3.6,Compliant,216Q
400,,,19.0,2.9,Uncompliant,151Q
300,,,27.0,2.92,Uncompliant,216Q
400,,,24.0,,Uncompliant,161Q
400,,,23.0,2.7,Uncompliant,161Q
300,,,23.0,2.7,Compliant,216Q
300,,470.0,16.0,3.03,Compliant,216Q
400,40.0,,,,Compliant,161Q
300,,,23.0,,Compliant,216Q
400,,,28.0,3.48,Compliant,151Q
500,30.0,,17.0,,Uncompliant,171Q
100,,,15.0,,Compliant,088
300,,,27.0,3.75,Compliant,216Q
300,,510.0,20.0,3.04,Compliant,121Q
290,,,20.0,2.71,Uncompliant,105Q
400,,,,2.86,Uncompliant,151Q
300,,,22.0,4.0,Compliant,216Q
400,,,23.0,,Uncompliant,151Q
400,,,18.0,3.28,Compliant,161Q
290,,,14.0,3.23,Compliant,105Q
400,,,17.0,3.0,Compliant,161Q
300,,,23.0,4.0,Compliant,216Q
400,,,23.0,3.15,Compliant,151Q
300,,,16.0,3.06,Compliant,216Q
300,,,23.0,2.74,Compliant,216Q
250,,,17.0,2.34,Uncompliant,Combo3
400,,,26.0,1.96,Compliant,161Q
300,,,22.0,,Uncompliant,216Q
300,,,18.0,2.63,Uncompliant,121Q
400,,,24.0,4.0,Compliant,161Q
400,,510.0,,2.87,Uncompliant,161Q
400,,,18.0,,Uncompliant,161Q
300,,,16.0,4.0,Compliant,216Q
400,,,22.0,3.76,Compliant,161Q
300,,,27.0,3.86,Compliant,216Q
300,,,,,Uncompliant,121Q
100,,,18.0,2.75,Uncompliant,Combo2
290,,,23.0,3.94,Compliant,105Q
400,,,25.0,3.37,Compliant,151Q
300,,,28.0,3.47,Compliant,216Q
300,,,28.0,,Uncompliant,216Q
300,,,29.0,3.55,Compliant,216Q
300,40.0,,19.0,3.44,Compliant,216Q
300,,,28.0,3.94,Compliant,216Q
300,,,25.0,3.53,Compliant,216Q
400,30.0,,25.0,3.29,Compliant,151Q
500,,,31.0,2.45,Uncompliant,171Q
300,,400.0,16.0,2.41,Uncompliant,216Q
400,,610.0,,3.67,Compliant,161Q
250,,,20.0,2.54,Uncompliant,Combo3
300,,650.0,,3.13,Compliant,216Q
300,40.0,,,,Compliant,121Q
300,,520.0,,3.56,Compliant,216Q
300,,,,,Uncompliant,216Q
300,,660.0,,4.0,Compliant,216Q
400,,,23.0,2.76,Uncompliant,161Q
500,,,24.0,,Uncompliant,171Q
290,,,,3.3,Compliant,105Q
300,,700.0,,,Uncompliant,216Q
300,,450.0,,3.67,Compliant,216Q
290,,520.0,22.0,2.68,Compliant,105Q
300,,,,,Uncompliant,216Q
150,,,18.0,2.54,Compliant,Combo1
150,,,19.0,2.43,Compliant,090
150,,,17.0,2.64,Compliant,Combo1
400,,,26.0,,Compliant,161Q
300,,,,,Uncompliant,216Q
300,,,17.0,3.12,Compliant,121Q
250,,,,,Uncompliant,Combo3
250,,,15.0,,Uncompliant,Combo3
300,,560.0,,2.91,Compliant,216Q
300,,,,,Uncompliant,216Q
290,40.0,,,,Compliant,105Q
300,,540.0,23.0,3.24,Compliant,216Q
300,,,21.0,,Uncompliant,121Q
300,,,21.0,3.28,Compliant,121Q
300,,,25.0,3.81,Compliant,216Q
250,,650.0,,2.58,Uncompliant,Combo3
100,,,18.0,3.02,Compliant,Combo2
500,,530.0,,2.87,Uncompliant,165Q
400,,,,,Uncompliant,161Q
300,,,16.0,2.22,Uncompliant,216Q
400,,590.0,,,Compliant,161Q
100,,,16.0,,Compliant,088
300,,,25.0,3.79,Compliant,216Q
400,,640.0,,4.0,Compliant,161Q
400,,,,,Uncompliant,161Q
300,,,24.0,3.3,Compliant,216Q
400,,570.0,25.0,3.68,Compliant,161Q
300,,610.0,27.0,3.29,Compliant,216Q
300,,,,,Uncompliant,216Q
290,,,15.0,2.33,Uncompliant,105Q
300,,620.0,22.0,,Uncompliant,216Q
290,,,,,Uncompliant,105Q
300,,,24.0,3.38,Compliant,121Q
400,,,28.0,3.1,Compliant,161Q
300,,,17.0,1.68,Uncompliant,216Q
300,40.0,510.0,18.0,,Compliant,216Q
250,30.0,,,,Compliant,Combo3
300,,,26.0,3.37,Compliant,216Q
300,,,23.0,3.64,Compliant,216Q
300,,,22.0,,Uncompliant,121Q
300,,,28.0,3.07,Compliant,216Q
100,,,17.0,2.69,Compliant,Combo2
300,,,15.0,3.57,Compliant,216Q
300,,580.0,,3.47,Compliant,121Q
300,30.0,560.0,,3.05,Compliant,121Q
290,,,27.0,2.97,Uncompliant,105Q
100,15.0,,16.0,1.89,Compliant,Combo2
300,,,24.0,3.65,Compliant,216Q
400,,,22.0,3.77,Compliant,161Q
150,,,20.0,3.4,Compliant,Combo1
100,,,19.0,3.25,Compliant,Combo2
300,,,26.0,,Uncompliant,121Q
400,,,23.0,2.9,Uncompliant,161Q
300,,500.0,,2.87,Uncompliant,216Q
300,,,20.0,3.37,Compliant,121Q
400,,,20.0,2.93,Uncompliant,161Q
400,,,,2.09,Uncompliant,151Q
300,,,,,Uncompliant,216Q
100,,,17.0,3.06,Compliant,Combo2
300,,490.0,,2.5,Uncompliant,216Q
100,,,18.0,3.22,Compliant,Combo2
300,,,19.0,3.5,Compliant,216Q
300,,560.0,,3.84,Compliant,216Q
400,,,27.0,3.0,Compliant,161Q
100,10.0,,,2.5,Compliant,Combo2
300,,540.0,,3.24,Compliant,216Q
300,,,,,Uncompliant,216Q
300,,510.0,,2.81,Uncompliant,216Q
400,,510.0,,2.81,Uncompliant,161Q
500,,790.0,32.0,3.93,Compliant,171Q
250,,,22.0,3.33,Compliant,Combo3
300,,600.0,,3.29,Compliant,216Q
300,,590.0,,3.19,Compliant,216Q
400,30.0,530.0,,3.96,Compliant,151Q
300,,,29.0,3.74,Compliant,216Q
400,30.0,,27.0,,Uncompliant,161Q
500,,730.0,,3.57,Compliant,171Q
300,,,19.0,2.54,Uncompliant,121Q
300,,530.0,23.0,3.43,Compliant,216Q
300,,690.0,,4.0,Compliant,121Q
300,,,22.0,3.77,Compliant,216Q
400,,580.0,,3.53,Compliant,161Q
300,,590.0,24.0,3.26,Compliant,216Q
300,30.0,,,,Compliant,121Q
300,,,,,Uncompliant,216Q
500,,,23.0,2.71,Uncompliant,171Q
100,10.0,,,,Compliant,088
300,,510.0,24.0,3.61,Compliant,216Q
300,,,22.0,3.35,Compliant,216Q
400,40.0,,,3.13,Compliant,151Q
100,10.0,,,2.66,Compliant,088
100,10.0,,,2.5,Compliant,Combo2
300,,690.0,,4.27,Compliant,216Q
300,,,21.0,2.87,Uncompliant,216Q
300,,,21.0,3.27,Compliant,216Q
150,30.0,,,3.02,Compliant,090
300,,750.0,,4.0,Compliant,216Q
100,,,16.0,2.82,Compliant,Combo2
300,,500.0,,2.8,Uncompliant,216Q
500,,510.0,24.0,3.14,Compliant,171Q
250,,,,2.6,Uncompliant,Combo3
150,,,18.0,,Compliant,Combo1
300,,550.0,,3.35,Compliant,216Q
150,,,,,Uncompliant,Combo1
500,,530.0,,3.58,Compliant,171Q
400,,540.0,,3.44,Compliant,161Q
300,,530.0,17.0,2.8,Uncompliant,216Q
400,,,21.0,3.75,Compliant,161Q
300,,710.0,28.0,4.0,Compliant,121Q
300,,720.0,,4.0,Compliant,121Q
300,,,18.0,3.89,Compliant,216Q
400,,560.0,22.0,3.43,Compliant,161Q
300,,610.0,24.0,3.3,Compliant,216Q
250,,,17.0,3.18,Compliant,Combo3
300,,550.0,,2.17,Uncompliant,216Q
300,,,15.0,3.66,Compliant,216Q
300,,,,,Uncompliant,216Q
300,,,27.0,3.36,Compliant,216Q
300,,,32.0,3.0,Compliant,216Q
300,,,22.0,3.83,Compliant,216Q
300,,400.0,,2.86,Uncompliant,216Q
300,,,,,Uncompliant,216Q
300,,550.0,22.0,2.94,Uncompliant,132
300,,,,4.0,Compliant,216Q
290,,,22.0,2.78,Compliant,105Q
290,40.0,,,,Compliant,105Q
300,,,,,Uncompliant,216Q
300,30.0,,,3.48,Compliant,121Q
300,,510.0,,3.66,Compliant,216Q
290,,,27.0,,Uncompliant,105Q
500,,,,,Uncompliant,171Q
300,,,,1.81,Uncompliant,216Q
300,,,22.0,3.06,Compliant,216Q
400,40.0,,,2.63,Compliant,161Q
300,40.0,,,2.63,Compliant,216Q
500,,,17.0,2.68,Uncompliant,165Q
300,,580.0,26.0,3.62,Compliant,216Q
300,,,15.0,3.76,Compliant,216Q
300,,510.0,,2.57,Uncompliant,121Q
500,,,26.0,3.36,Compliant,165Q
